k	Задача	1-hd			1-fd			2-hd			2-fd			3-hd			3-fd			4-hd			4-fd			
0,4	5	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	2,75714	0,30635	0,80714	
0,4	6	2,07738	0,23082	0,31548	2,25161	0,25018	0,34194	2,19497	0,24389	0,33333	2,25161	0,25018	0,34194	2,19497	0,24389	0,33333	2,25161	0,25018	0,34194	2,19497	0,24389	0,33333	2,25161	0,25018	0,34194	
0,4	7	4,45946	0,4955	0,75676	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	4,78261	0,5314	0,81159	
0,4	8	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	4,60465	0,51163	0,69767	
0,4	9	4,09195	0,45466	0,58621	6,84615	0,76068	0,98077	4,94444	0,54938	0,70833	6,84615	0,76068	0,98077	4,94444	0,54938	0,70833	6,84615	0,76068	0,98077	4,94444	0,54938	0,70833	6,84615	0,76068	0,98077	
0,4	10	3,19811	0,35535	0,72642	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	3,22857	0,35873	0,73333	
0,5	1	6,44231	0,71581	0,69231	6,97917	0,77546	0,75	6,97917	0,77546	0,75	6,97917	0,77546	0,75	6,97917	0,77546	0,75	6,97917	0,77546	0,75	6,97917	0,77546	0,75	6,97917	0,77546	0,75	
0,5	2	2,56489	0,28499	0,64885	2,8	0,31111	0,70833	2,8	0,31111	0,70833	2,8	0,31111	0,70833	2,8	0,31111	0,70833	2,8	0,31111	0,70833	2,8	0,31111	0,70833	2,8	0,31111	0,70833	
0,5	3	3,74257	0,41584	0,71287	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	4,1087	0,45652	0,78261	
0,5	4	2,93846	0,3265	0,73846	3,03175	0,33686	0,7619	2,93846	0,3265	0,73846	3,03175	0,33686	0,7619	2,93846	0,3265	0,73846	3,03175	0,33686	0,7619	2,93846	0,3265	0,73846	3,03175	0,33686	0,7619	
0,5	5	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	3,2	0,35556	0,95652	
0,5	6	4,57692	0,50855	0,70513	5,85246	0,65027	0,90164	4,95833	0,55093	0,76389	5,85246	0,65027	0,90164	4,95833	0,55093	0,76389	5,85246	0,65027	0,90164	4,95833	0,55093	0,76389	5,85246	0,65027	0,90164	
0,5	7	2,45946	0,27327	0,66892	3,13793	0,34866	0,85345	2,86614	0,31846	0,77953	3,13793	0,34866	0,85345	2,86614	0,31846	0,77953	3,13793	0,34866	0,85345	2,86614	0,31846	0,77953	3,13793	0,34866	0,85345	
0,5	8	3,33962	0,37107	0,84906	3,54	0,39333	0,9	3,54	0,39333	0,9	3,54	0,39333	0,9	3,54	0,39333	0,9	3,54	0,39333	0,9	3,54	0,39333	0,9	3,54	0,39333	0,9	
0,5	9	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	3,32727	0,3697	0,95455	
0,5	10	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	3,36607	0,37401	0,66071	
0,6	1	3,33333	0,37037	0,75758	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	3,83721	0,42636	0,87209	
0,6	2	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	4,08434	0,45382	0,81928	
0,6	3	5,75676	0,63964	0,87838	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	6,26471	0,69608	0,95588	
0,6	4	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	2,46207	0,27356	0,75862	
0,6	5	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	3,2521	0,36134	0,9916	
0,6	6	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	3,60417	0,40046	0,97917	
0,6	7	4,34211	0,48246	0,85526	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	4,71429	0,52381	0,92857	
0,6	8	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	4,20732	0,46748	0,95122	
0,6	9	3,68317	0,40924	0,68317	4,48193	0,49799	0,83133	4	0,44444	0,74194	4,48193	0,49799	0,83133	4	0,44444	0,74194	4,48193	0,49799	0,83133	4	0,44444	0,74194	4,48193	0,49799	0,83133	
