k	Задача	0				1				2				3				4				5				
0,4	10	0,95483	0,10609	0,16222	114	1,17128	0,13014	0,19899	98	1,31728	0,14636	0,2238	85	3,16327	0,35147	0,53741	160	3,2069	0,35632	0,54483	162	3,18493	0,35388	0,5411	152	
0,5	1	1,43168	0,15908	0,24534	100	0,922	0,10244	0,158	95	1,29132	0,14348	0,22129	90	4,0087	0,44541	0,68696	153	5,62195	0,62466	0,96341	147	5,01087	0,55676	0,8587	142	
0,5	2	1,69512	0,18835	0,21138	91	1,40878	0,15653	0,17568	80	1,48929	0,16548	0,18571	94	7,18966	0,79885	0,89655	157	6,22388	0,69154	0,77612	141	5,87324	0,65258	0,73239	126	
0,5	3	0,86486	0,0961	0,28764	98	0,65593	0,07288	0,21816	88	0,84848	0,09428	0,2822	83	2,50279	0,27809	0,8324	169	2,2069	0,24521	0,73399	146	2,11321	0,2348	0,70283	149	
0,5	4	1,68166	0,18685	0,2699	94	1,38857	0,15429	0,22286	91	1,59868	0,17763	0,25658	97	3,65414	0,40602	0,58647	145	4,30088	0,47788	0,69027	137	4,41818	0,49091	0,70909	133	
0,5	5	2,64286	0,29365	0,29762	86	1,20652	0,13406	0,13587	86	1,45098	0,16122	0,1634	98	7,92857	0,88095	0,89286	139	6,08219	0,6758	0,68493	143	5,84211	0,64912	0,65789	142	
0,5	6	1,12679	0,1252	0,25598	99	0,99158	0,11018	0,22526	81	0,74881	0,0832	0,17011	90	3,36429	0,37381	0,76429	161	2,98101	0,33122	0,67722	147	3,43796	0,382	0,78102	150	
0,5	7	1,69685	0,18854	0,23622	86	1,70356	0,18928	0,23715	78	1,08291	0,12032	0,15075	92	5,07059	0,5634	0,70588	150	4,68478	0,52053	0,65217	146	5,01163	0,55685	0,69767	130	
0,5	8	1,55326	0,17258	0,2646	95	1,14141	0,12682	0,19444	85	1,29513	0,1439	0,22063	90	4,75789	0,52865	0,81053	154	4,2243	0,46937	0,71963	142	4,18518	0,46502	0,71296	136	
0,5	9	1,62016	0,18002	0,27907	87	1,11467	0,12385	0,192	90	1,17746	0,13083	0,20282	78	4,01923	0,44658	0,69231	142	3,45455	0,38384	0,59504	142	2,96454	0,32939	0,51064	137	
