k	Задача	0				1				2				3				4				5				
0,7	2	2,53378	0,28153	0,36486	65	2,58621	0,28736	0,37241	66	2,64085	0,29343	0,38028	61	5,13699	0,57078	0,73973	100	6,25	0,69444	0,9	105	5,06757	0,56306	0,72973	88	
0,7	3	2,33766	0,25974	0,44156	77	1,96721	0,21858	0,37158	63	1,32353	0,14706	0,25	81	4,93151	0,54795	0,93151	112	4,33735	0,48193	0,81928	118	3,82979	0,42553	0,7234	109	
0,7	4	2,98374	0,33153	0,47967	75	2,01648	0,22405	0,32418	183	2,98374	0,33153	0,47967	57	5,8254	0,64727	0,93651	220	4,82895	0,53655	0,77632	123	4,95946	0,55105	0,7973	124	
0,7	5	2,95798	0,32866	0,51261	159	3,06087	0,3401	0,53043	179	1,93407	0,2149	0,33516	103	5,5873	0,62081	0,96825	119	4,82192	0,53577	0,83562	110	4,75676	0,52853	0,82432	320	
0,7	6	3,89362	0,43262	0,67021	177	2,40789	0,26754	0,41447	291	2,37662	0,26407	0,40909	189	5,80952	0,6455	1	355	5,0137	0,55708	0,86301	268	4,94595	0,54955	0,85135	224	
0,7	7	2,30345	0,25594	0,4069	95	1,8764	0,20849	0,33146	235	2,12739	0,23638	0,3758	236	5,56667	0,61852	0,98333	212	4,84058	0,53784	0,85507	335	4,70423	0,52269	0,83099	276	
0,7	8	2,08421	0,23158	0,43158	84	2,80851	0,31206	0,58156	212	2,22472	0,24719	0,46067	146	4,5	0,5	0,93182	228	4,21277	0,46809	0,87234	298	3,88235	0,43137	0,80392	139	
0,7	9	2,34615	0,26068	0,42949	78	1,7767	0,19741	0,32524	109	1,69444	0,18827	0,31019	171	4,94595	0,54955	0,90541	287	4,15909	0,46212	0,76136	276	4,63291	0,51477	0,8481	192	
0,7	10	2,97561	0,33062	0,4065	235	2,59574	0,28842	0,35461	236	2,01099	0,22344	0,27473	103	7,17647	0,79739	0,98039	123	6	0,66667	0,81967	115	5,71875	0,63542	0,78125	120	
0,8	1	4,23864	0,47096	0,75	94	3,76768	0,41863	0,66667	79	3,33036	0,37004	0,58929	58	5,65152	0,62795	1	137	4,54878	0,50542	0,80488	122	4,6625	0,51806	0,825	125	
0,8	2	5,53731	0,61526	0,76119	63	3,56731	0,39637	0,49038	64	2,83206	0,31467	0,38931	69	5,98387	0,66487	0,82258	138	5,53731	0,61526	0,76119	142	4,6375	0,51528	0,6375	143	
0,8	3	3,23364	0,35929	0,73832	83	2,62121	0,29125	0,59848	68	2,88333	0,32037	0,65833	74	4,37975	0,48664	1	130	3,88764	0,43196	0,88764	134	4,325	0,48056	0,9875	124	
0,8	4	2,74016	0,30446	0,59843	90	2,7619	0,30688	0,60317	90	2,94915	0,32768	0,64407	85	3,55102	0,39456	0,77551	157	3,66316	0,40702	0,8	131	3,82418	0,42491	0,83516	123	
0,8	5	2,90756	0,32306	0,72269	84	2,6015	0,28906	0,64662	93	2,4539	0,27266	0,60993	72	4,02326	0,44703	1	148	3,97701	0,44189	0,98851	141	3,60417	0,40046	0,89583	136	
0,8	6	2,17532	0,2417	0,59091	74	2,5969	0,28854	0,70543	59	2,18954	0,24328	0,59477	67	3,68132	0,40904	1	114	3,6413	0,40459	0,98913	115	3,6413	0,40459	0,98913	110	
0,8	7	3,60748	0,40083	0,6729	79	4,70732	0,52304	0,87805	67	4,33708	0,4819	0,80899	88	5,28767	0,58752	0,9863	111	5,01299	0,557	0,93506	115	5,14667	0,57185	0,96	114	
0,8	8	4,68293	0,52033	0,57317	85	3,65714	0,40635	0,44762	70	4,57143	0,50794	0,55952	67	6,19355	0,68817	0,75806	122	6	0,66667	0,73438	120	6,09524	0,67725	0,74603	127	
0,8	9	2,35075	0,26119	0,57463	82	2,03226	0,22581	0,49677	70	2,29927	0,25547	0,56204	69	4,03846	0,44872	0,98718	123	3,70588	0,41176	0,90588	117	3,70588	0,41176	0,90588	126	
0,8	10	5,14493	0,57166	0,68116	68	3,9011	0,43346	0,51648	65	3,41346	0,37927	0,45192	74	7,2449	0,80499	0,95918	122	6,01695	0,66855	0,79661	121	6,45455	0,71717	0,85455	129	
0,9	1	5,05405	0,56156	0,89189	67	3,93684	0,43743	0,69474	65	4,25	0,47222	0,75	61	5,66667	0,62963	1	137	5,05405	0,56156	0,89189	119	5,58209	0,62023	0,98507	132	
0,9	2	6,43103	0,71456	0,74138	63	4,23864	0,47096	0,48864	70	5,82812	0,64757	0,67188	62	8,67442	0,96382	1	134	5,48529	0,60948	0,63235	123	6,43103	0,71456	0,74138	119	
0,9	3	7,25	0,80556	0,91667	69	5,27273	0,58586	0,66667	63	5,04348	0,56039	0,63768	64	7,73333	0,85926	0,97778	133	6	0,66667	0,75862	146	5,70492	0,63388	0,72131	143	
0,9	4	6,73469	0,7483	0,87755	58	4,64789	0,51643	0,60563	67	4,71429	0,52381	0,61429	63	7,5	0,83333	0,97727	134	6,11111	0,67901	0,7963	122	7,33333	0,81481	0,95556	127	
0,9	5	4,7013	0,52237	0,85714	67	3,85106	0,4279	0,70213	68	3,93478	0,4372	0,71739	62	5,40299	0,60033	0,98507	140	4,58228	0,50914	0,83544	136	4,64103	0,51567	0,84615	139	
0,9	6	5,54688	0,61632	0,76562	52	5,46154	0,60684	0,75385	55	5,37879	0,59764	0,74242	43	7,1	0,78889	0,98	109	7,1	0,78889	0,98	103	6,45455	0,71717	0,89091	101	
0,9	7	7,88889	0,87654	0,95556	56	4,61039	0,51227	0,55844	61	5,46154	0,60684	0,66154	62	8,25581	0,91731	1	96	5,37879	0,59764	0,65152	97	6,12069	0,68008	0,74138	105	
0,9	8	6,06897	0,67433	0,75862	58	5,67742	0,63082	0,70968	53	5,5	0,61111	0,6875	62	7,82222	0,86914	0,97778	108	6,76923	0,75214	0,84615	102	6,51852	0,72428	0,81481	109	
0,9	9	7,32	0,81333	0,78	52	5,80952	0,6455	0,61905	63	6,42105	0,71345	0,68421	47	9,38461	1,04273	1	121	7,46939	0,82993	0,79592	98	7,03846	0,78205	0,75	90	
0,9	10	7,95349	0,88372	0,7907	62	5,42857	0,60317	0,53968	70	4,88571	0,54286	0,48571	45	9	1	0,89474	116	7,125	0,79167	0,70833	105	6,21818	0,69091	0,61818	93	
