k	Задача	0				1				2				3				4				5				
0,5	3	1,31028	0,14559	0,11067	148	1,334	0,14822	0,11268	169	1,10133	0,12237	0,09302	155	7,44944	0,82772	0,62921	436	5,71552	0,63506	0,48276	407	4,39073	0,48786	0,37086	414	
0,5	4	1,46929	0,16325	0,13759	156	1,84	0,20444	0,17231	159	1,45146	0,16127	0,13592	197	6,29474	0,69942	0,58947	388	7,66667	0,85185	0,71795	362	5,43636	0,60404	0,50909	340	
0,5	5	2,02229	0,2247	0,23248	180	1,37744	0,15305	0,15835	170	1,1847	0,13163	0,13619	156	6,10577	0,67842	0,70192	409	5,1626	0,57362	0,5935	317	5,42735	0,60304	0,62393	329	
0,5	6	1,82595	0,20288	0,14557	152	1,25983	0,13998	0,10044	167	1,10115	0,12235	0,08779	161	2,5087	0,27874	0,2	457	3,62893	0,40321	0,28931	395	4,47287	0,49699	0,35659	399	
0,5	7	1,76685	0,19632	0,19101	159	1,24554	0,13839	0,13465	177	1,1757	0,13063	0,1271	148	7,57831	0,84203	0,81928	372	5,66667	0,62963	0,61261	327	5,24167	0,58241	0,56667	322	
0,5	8	1,08438	0,12049	0,09515	164	1,3304	0,14782	0,11674	161	1,38532	0,15392	0,12156	140	8,50704	0,94523	0,74648	381	7,19048	0,79894	0,63095	365	7,74359	0,8604	0,67949	369	
0,5	9	1,37107	0,15234	0,18449	175	0,86623	0,09625	0,11656	173	1,13937	0,1266	0,15331	124	5,83929	0,64881	0,78571	412	4,84444	0,53827	0,65185	355	3,49733	0,38859	0,47059	406	
0,5	10	1,43192	0,1591	0,12207	164	1,17988	0,1311	0,10058	158	1,26819	0,14091	0,10811	153	6,48936	0,72104	0,55319	377	4,29577	0,47731	0,3662	322	4,29577	0,47731	0,3662	302	
0,6	1	2,6913	0,29903	0,21304	160	1,7942	0,19936	0,14203	167	2,06333	0,22926	0,16333	153	8,25333	0,91704	0,65333	402	8,14474	0,90497	0,64474	399	5,83962	0,64885	0,46226	407	
0,6	2	3,95	0,43889	0,2875	157	1,98742	0,22082	0,14465	179	2,35821	0,26202	0,17164	159	9,43284	1,04809	0,68657	397	7,26437	0,80715	0,52874	327	7,80247	0,86694	0,5679	328	
0,6	3	2,54762	0,28307	0,15079	149	1,8827	0,20919	0,11144	147	1,39262	0,15474	0,08243	145	9,30435	1,03382	0,55072	448	7,73494	0,85944	0,45783	402	9,58209	1,06468	0,56716	418	
0,6	4	3,15306	0,35034	0,20408	133	1,50365	0,16707	0,09732	156	1,60938	0,17882	0,10417	146	5,88571	0,65397	0,38095	472	3,6568	0,40631	0,23669	435	5,37391	0,5971	0,34783	442	
0,6	5	2,06419	0,22935	0,34459	186	1,8628	0,20698	0,31098	190	1,39817	0,15535	0,23341	147	5,93204	0,65912	0,99029	364	5,31304	0,59034	0,88696	308	5,13445	0,57049	0,85714	311	
0,6	6	2,18505	0,24278	0,15302	148	2,44622	0,2718	0,17131	153	1,4689	0,16321	0,10287	137	9,16418	1,01824	0,64179	369	6,26531	0,69615	0,43878	328	7,675	0,85278	0,5375	313	
0,6	7	1,65873	0,1843	0,10317	160	1,65435	0,18382	0,1029	161	2,92991	0,32555	0,18224	124	6,74194	0,7491	0,41935	409	5,016	0,55733	0,312	388	5,64865	0,62763	0,35135	372	
0,6	8	2,25263	0,25029	0,19649	150	1,99379	0,22153	0,17391	176	1,50704	0,16745	0,13146	138	9,87692	1,09744	0,86154	414	7,21348	0,8015	0,62921	372	6,0566	0,67296	0,5283	326	
0,6	9	2,04545	0,22727	0,26623	186	1,98113	0,22013	0,25786	150	1,47541	0,16393	0,19204	202	4,53237	0,5036	0,58993	374	5,72727	0,63636	0,74545	320	5,88785	0,65421	0,76636	311	
0,6	10	2,65652	0,29517	0,16957	146	1,95208	0,2169	0,1246	145	2,18996	0,24333	0,13978	139	7,02299	0,78033	0,44828	468	5,5045	0,61161	0,35135	399	4,18493	0,46499	0,26712	422	
0,7	1	3,02765	0,33641	0,18894	153	3,22059	0,35784	0,20098	164	3,07009	0,34112	0,19159	144	7,38202	0,82022	0,46067	332	8,87838	0,98649	0,55405	323	9,125	1,01389	0,56944	291	
0,7	2	3,42529	0,38059	0,35057	155	4,11034	0,4567	0,42069	155	2,81132	0,31237	0,28774	132	9,77049	1,08561	1	332	7,18072	0,79786	0,73494	310	8,05405	0,89489	0,82432	342	
0,7	3	3,75581	0,41731	0,38372	149	2,78448	0,30939	0,28448	153	1,9816	0,22018	0,20245	128	6,03738	0,67082	0,61682	379	5,12698	0,56966	0,52381	330	5,168	0,57422	0,528	330	
0,7	4	3,60694	0,40077	0,23699	137	2,68966	0,29885	0,17672	163	2,15172	0,23908	0,14138	109	10,94737	1,21637	0,7193	413	8,32	0,92444	0,54667	408	7,89873	0,87764	0,51899	389	
0,7	5	3,07442	0,3416	0,22326	200	2,80085	0,31121	0,20339	189	3,01826	0,33536	0,21918	193	11,39655	1,26628	0,82759	463	7,86905	0,87434	0,57143	392	8,47436	0,9416	0,61538	363	
0,7	6	3,73077	0,41453	0,28022	176	2,716	0,30178	0,204	174	2,50554	0,27839	0,18819	135	9,05333	1,00593	0,68	450	9,56338	1,0626	0,71831	408	6,85859	0,76207	0,51515	385	
0,7	7	2,80973	0,31219	0,29204	154	3,05288	0,33921	0,31731	142	2,5813	0,28681	0,26829	129	9,2029	1,02254	0,95652	409	7,9375	0,88194	0,825	396	7,21591	0,80177	0,75	376	
0,7	8	2,93868	0,32652	0,24528	155	3,17857	0,35317	0,26531	159	2,42412	0,26935	0,20233	126	7,7875	0,86528	0,65	415	6,69892	0,74432	0,55914	397	6,29293	0,69921	0,52525	429	
